manufacturer,type,avg_price,median_price,total_listings
ford,mini-van,11855.610859728507,10990.0,221
ford,offroad,14380.307692307691,10500.0,26
ford,other,25530.958245243128,22995.0,1892
ford,pickup,28701.438043208345,27990.0,12081
ford,sedan,8836.186975181938,7799.0,5359
ford,truck,28108.329499655953,25995.0,10173
ford,unknown,19900.246173308034,14995.0,15810
ford,van,18675.73723783142,16999.0,2527
ford,wagon,15223.317848410758,15990.0,818
gmc,SUV,17455.035405405404,14500.0,3700
gmc,bus,13679.0,8997.5,10
gmc,convertible,7000.0,7000.0,1
gmc,hatchback,20789.777777777777,24988.0,9
gmc,mini-van,9476.181818181818,6000.0,11
gmc,offroad,8060.0,5000.0,5
gmc,other,28661.85871559633,26990.0,545
gmc,pickup,30437.21151178918,29995.0,4326
gmc,sedan,22729.6,24999.0,10
gmc,truck,33276.95503934057,30000.0,2669
gmc,unknown,21728.6439416493,16500.0,3359
gmc,van,20100.549828178693,18950.0,291
gmc,wagon,8476.285714285714,5998.0,91
harley-davidson,SUV,14500.0,14500.0,1
harley-davidson,offroad,16950.0,16950.0,1
harley-davidson,other,12079.93023255814,9899.0,43
harley-davidson,pickup,16674.5,11975.0,20
harley-davidson,sedan,10747.5,10747.5,2
harley-davidson,truck,16362.117647058823,18000.0,17
harley-davidson,unknown,12435.30612244898,10995.0,49
harley-davidson,van,18500.0,18500.0,1
honda,SUV,12521.624802942722,10950.0,3806
honda,bus,175.0,175.0,18
honda,convertible,19728.882352941175,19999.0,34
honda,coupe,10681.222296395194,8700.0,1498
honda,hatchback,13227.285288270377,12990.0,1006
honda,mini-van,9453.299603174602,6500.0,1008
honda,offroad,5950.0,5950.0,1
honda,other,16531.305506216697,15995.0,563
honda,pickup,26578.580441640377,30590.0,317
honda,sedan,11247.429260207926,8995.0,6637
honda,truck,19836.964285714286,13995.0,168
honda,unknown,8964.094567404427,6875.0,3976
honda,van,15120.113026819923,9147.5,522
honda,wagon,15188.244444444445,16750.0,135
hyundai,SUV,13611.089297439265,12952.0,1523
hyundai,coupe,14411.236059479554,11515.0,538
hyundai,hatchback,11559.015384615384,9875.0,455
hyundai,mini-van,5170.388888888889,5447.5,18
hyundai,other,18634.2096069869,17590.0,458
hyundai,pickup,4250.0,4250.0,1
hyundai,sedan,11522.48311204286,10500.0,4293
hyundai,truck,6189.0,4995.0,5
hyundai,unknown,9345.40605368361,7800.0,1751
hyundai,van,5934.444444444444,6950.0,9
hyundai,wagon,10886.224137931034,10995.0,232
infiniti,SUV,22641.127939793038,23990.0,1063
infiniti,convertible,16486.454545454544,14995.0,33
infiniti,coupe,24645.697211155377,28590.0,502
infiniti,hatchback,27575.125641025643,23994.5,390
infiniti,other,31110.29562982005,31990.0,389
infiniti,sedan,17704.098383696415,17495.0,1423
infiniti,truck,10724.272727272728,9997.0,11
infiniti,unknown,13537.397660818713,10000.0,513
infiniti,wagon,16431.776785714286,15945.0,112
jaguar,SUV,36171.56401384083,38590.0,289
jaguar,convertible,20376.074468085106,13825.0,94
jaguar,coupe,27802.01886792453,32000.0,53
jaguar,hatchback,23990.0,23990.0,2
jaguar,other,39268.08101265823,35990.0,395
jaguar,sedan,21904.883507853403,24990.0,764
jaguar,unknown,18790.035714285714,10825.0,224
jaguar,wagon,5133.0,4500.0,3
jeep,SUV,19170.971462194764,17980.0,10197
jeep,convertible,28599.719626168226,30872.5,214
jeep,coupe,24925.0,24925.0,2
jeep,hatchback,16101.242424242424,12999.0,33
jeep,offroad,17699.513333333332,15000.0,300
jeep,other,29003.008794619764,31590.0,1933
jeep,pickup,44404.76506024096,45947.0,166
jeep,sedan,10541.5,6000.0,28
jeep,truck,28252.781954887218,21900.0,133
