price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,state
3999,2001.0,honda,civic,unknown,unknown,unknown,88361.0,unknown,unknown,unknown,nc
200,1999.0,ford,taurus,unknown,unknown,gas,144000.0,automatic,unknown,unknown,mn
29997,2015.0,toyota,tacoma,unknown,6 cylinders,gas,144071.0,manual,4wd,truck,or
67950,2019.0,ford,expedition,unknown,6 cylinders,gas,2206.0,automatic,4wd,SUV,mi
1000,2012.0,subaru,legacy,unknown,unknown,gas,90000.0,automatic,unknown,unknown,ca
14988,2017.0,nissan,sentra,unknown,unknown,gas,18384.0,automatic,unknown,unknown,ia
15000,2004.0,lexus,gx 470,good,8 cylinders,gas,194900.0,automatic,4wd,SUV,or
29918,2018.0,toyota,highlander,unknown,6 cylinders,gas,75523.0,automatic,fwd,SUV,tx
13995,2010.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,165000.0,automatic,4wd,pickup,ny
14500,2013.0,cadillac,cts,excellent,unknown,gas,103416.0,automatic,rwd,coupe,tn
42994,2019.0,chevrolet,silverado 1500,unknown,unknown,gas,39690.0,automatic,4wd,pickup,ar
13961,2014.0,honda,cr-v,unknown,unknown,gas,99563.0,automatic,unknown,unknown,ma
32500,2020.0,subaru,outback,good,4 cylinders,gas,8546.0,automatic,4wd,wagon,ok
3000,2010.0,jeep,liberty,unknown,6 cylinders,gas,133667.0,automatic,4wd,SUV,oh
17988,2014.0,chevrolet,tahoe,unknown,8 cylinders,gas,200000.0,automatic,4wd,unknown,tx
12589,2013.0,gmc,terrain,excellent,6 cylinders,gas,96985.0,automatic,fwd,SUV,wi
4900,2007.0,toyota,yaris,excellent,4 cylinders,gas,134104.0,automatic,fwd,coupe,wi
28998,2018.0,honda,cr-v ex-l,excellent,4 cylinders,gas,34982.0,automatic,4wd,SUV,id
2900,2003.0,acura,mdx touring awd,unknown,unknown,gas,200000.0,automatic,unknown,unknown,ut
19995,2011.0,ram,2500,good,8 cylinders,gas,169057.0,automatic,4wd,truck,id
9700,2014.0,porsche,cayenne platinum edition,unknown,unknown,gas,80000.0,automatic,unknown,unknown,ga
5500,2013.0,nissan,leaf,excellent,other,electric,67000.0,automatic,fwd,unknown,il
8450,2002.0,toyota,sequoia,unknown,unknown,gas,198425.0,automatic,4wd,wagon,sc
7450,2012.0,jeep,patriot,excellent,4 cylinders,gas,88361.0,automatic,4wd,SUV,mt
6500,2012.0,mazda,5 grand touring,good,4 cylinders,gas,140706.0,automatic,fwd,hatchback,ky
26990,2017.0,nissan,titan single cab sv,good,8 cylinders,gas,41335.0,other,4wd,pickup,oh
8299,2013.0,toyota,prius,excellent,4 cylinders,hybrid,177177.0,automatic,fwd,hatchback,ma
39990,2020.0,acura,mdx sh-awd sport utility,good,6 cylinders,gas,1237.0,other,unknown,other,ky
24590,2018.0,volkswagen,tiguan 2.0t sel sport,good,unknown,gas,39802.0,other,fwd,other,sc
18995,2014.0,ram,pickup 1500 slt 4x2 4dr,good,8 cylinders,gas,110238.0,automatic,unknown,pickup,ar
6995,2007.0,ford,escape xlt,unknown,unknown,gas,76081.0,automatic,unknown,unknown,wi
5850,2011.0,ford,fusion se,excellent,4 cylinders,gas,129000.0,automatic,fwd,sedan,ma
15590,2019.0,kia,forte fe sedan 4d,good,unknown,gas,18761.0,other,fwd,sedan,ny
36000,2013.0,ram,diesel cummins 3500,excellent,8 cylinders,diesel,84182.0,automatic,4wd,pickup,ok
8300,2009.0,pontiac,solstice,excellent,4 cylinders,gas,99674.0,automatic,unknown,unknown,va
3100,1993.0,infiniti,j30,like new,6 cylinders,gas,160000.0,automatic,rwd,sedan,ca
40590,2019.0,ford,f250 super duty regular cab,good,8 cylinders,other,9313.0,other,4wd,pickup,tx
4200,2003.0,chevrolet,express van,good,8 cylinders,gas,174417.0,automatic,rwd,van,ca
28488,2018.0,gmc,terrain,unknown,unknown,other,47861.0,automatic,4wd,unknown,ca
87900,2020.0,gmc,sierra 3500 lifted diesel 3500hd denali on 37s loaded 7k miles,unknown,8 cylinders,other,7724.0,automatic,4wd,pickup,or
17995,2016.0,kia,optima,unknown,4 cylinders,gas,136504.0,automatic,fwd,sedan,co
10000,2015.0,dodge,charger,excellent,unknown,gas,50000.0,automatic,unknown,unknown,in
53900,2017.0,tesla,model s,unknown,unknown,electric,15285.0,automatic,4wd,sedan,ia
12995,2013.0,volkswagen,cc,unknown,unknown,gas,88991.0,automatic,fwd,unknown,ks
7900,2008.0,mercedes-benz,unknown,excellent,6 cylinders,diesel,227000.0,automatic,4wd,SUV,ia
9000,1990.0,ford,f-250,unknown,unknown,gas,136000.0,automatic,unknown,unknown,oh
19999,1996.0,ford,f-350 xlt,unknown,8 cylinders,diesel,267371.0,manual,4wd,truck,co
19895,2018.0,subaru,impreza,unknown,4 cylinders,gas,65496.0,automatic,unknown,sedan,ut
7995,2014.0,chevrolet,cruze,unknown,unknown,gas,70481.0,unknown,unknown,sedan,wa
25990,2019.0,ram,1500 classic regular cab,good,8 cylinders,gas,12302.0,other,unknown,pickup,pa
9999,2010.0,honda,accord crosstour ex-l,unknown,unknown,gas,110092.0,automatic,fwd,wagon,ca
28000,2016.0,mercedes-benz,glc 300 4matic,excellent,unknown,gas,39243.0,automatic,unknown,SUV,ny
30990,2016.0,dodge,challenger r/t coupe 2d,good,8 cylinders,gas,26229.0,other,rwd,coupe,ny
21500,2014.0,mercedes-benz,benz ml 350,excellent,6 cylinders,gas,74445.0,automatic,4wd,SUV,il
10995,2014.0,subaru,outback,unknown,4 cylinders,gas,91382.0,automatic,4wd,SUV,ny
47590,2018.0,jaguar,f-type 3.0 340 hp,good,6 cylinders,gas,17205.0,other,rwd,other,tn
3300,2006.0,honda,crv,unknown,unknown,gas,1000.0,automatic,unknown,unknown,ny
12990,2008.0,lexus,is 350,unknown,6 cylinders,gas,160964.0,automatic,rwd,sedan,tn
10500,2012.0,honda,civic,unknown,unknown,gas,54600.0,automatic,unknown,unknown,ny
6995,2012.0,chevrolet,cruze ltz,excellent,4 cylinders,gas,126704.0,automatic,fwd,sedan,in
13990,2015.0,dodge,dart sxt sedan 4d,good,unknown,other,79289.0,other,unknown,sedan,az
29980,2014.0,bmw,640,unknown,unknown,gas,65957.0,automatic,unknown,unknown,sc
18990,2018.0,volkswagen,passat 2.0t r-line,good,unknown,gas,21050.0,other,fwd,sedan,ca
36490,2018.0,ford,e-series cutaway,good,10 cylinders,gas,16535.0,automatic,rwd,truck,nj
37990,2019.0,ford,mustang gt coupe 2d,good,8 cylinders,gas,337.0,other,rwd,coupe,oh
5500,2004.0,honda,accord ex-l,excellent,4 cylinders,gas,146700.0,automatic,fwd,sedan,fl
22995,2015.0,toyota,tacoma,unknown,unknown,gas,142638.0,automatic,fwd,pickup,fl
35999,2019.0,ram,1500 classic slt 4x4,unknown,unknown,gas,36060.0,automatic,4wd,truck,or
23900,2014.0,jeep,wrangler unlimited sahara,unknown,unknown,gas,121475.0,automatic,4wd,unknown,mi
22590,2017.0,buick,regal premium ii sedan 4d,good,unknown,gas,29323.0,other,unknown,sedan,fl
7995,2012.0,fiat,500,good,4 cylinders,gas,84951.0,automatic,fwd,hatchback,pa
18500,2004.0,chevrolet,express 3500,excellent,unknown,gas,23200.0,automatic,fwd,van,ny
7450,2009.0,honda,accord ex,excellent,4 cylinders,gas,133833.0,automatic,fwd,unknown,nj
29985,2017.0,bmw,5 series,excellent,unknown,gas,31838.0,automatic,rwd,sedan,ca
6992,2003.0,toyota,camry,unknown,unknown,gas,90806.0,automatic,fwd,unknown,ma
14300,2016.0,volkswagen,tiguan,excellent,4 cylinders,gas,40550.0,automatic,4wd,SUV,mi
30990,2017.0,ford,mustang gt coupe 2d,good,8 cylinders,gas,10408.0,other,rwd,coupe,ca
11499,2008.0,mercedes-benz,ml320 cdi,like new,6 cylinders,diesel,99000.0,automatic,4wd,SUV,pa
31800,2014.0,chevrolet,silverado,excellent,8 cylinders,gas,73000.0,automatic,4wd,truck,in
9000,2013.0,volkswagen,tiguan s,excellent,4 cylinders,gas,95000.0,automatic,unknown,unknown,ca
39590,2020.0,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,1419.0,other,rwd,coupe,ma
18550,2018.0,ram,promaster,unknown,unknown,gas,173000.0,automatic,unknown,unknown,ky
19995,2005.0,ford,f-350 fx4 4x4 power stroke 6 speed manual long bed,unknown,8 cylinders,diesel,176462.0,manual,4wd,pickup,or
66971,2019.0,chevrolet,silverado 2500 hd ltz,good,8 cylinders,diesel,12832.0,automatic,4wd,pickup,wa
4300,2007.0,jeep,liberty,good,6 cylinders,gas,172650.0,automatic,4wd,SUV,oh
16590,2014.0,toyota,camry hybrid xle sedan 4d,good,unknown,gas,82584.0,other,fwd,sedan,ct
8995,2012.0,chrysler,town & country,good,6 cylinders,gas,94577.0,automatic,fwd,mini-van,az
34990,2020.0,lexus,nx 300 sport utility 4d,good,unknown,gas,1722.0,other,fwd,hatchback,tx
18990,2013.0,toyota,tacoma access cab pickup,good,unknown,gas,83015.0,automatic,unknown,pickup,ca
7000,2005.0,infiniti,g35,unknown,unknown,gas,120.0,automatic,unknown,unknown,ca
5395,2012.0,mazda,3,good,4 cylinders,gas,154656.0,manual,fwd,sedan,ny
36590,2019.0,chevrolet,silverado 1500 crew,good,8 cylinders,gas,7619.0,other,unknown,pickup,in
